	chr6:0-1000000	chr6:1000000-2000000	chr6:10000000-11000000	chr6:100000000-101000000	chr6:101000000-102000000	chr6:102000000-103000000	chr6:103000000-104000000	chr6:104000000-105000000	chr6:105000000-106000000	chr6:106000000-107000000	chr6:107000000-108000000	chr6:108000000-109000000	chr6:109000000-110000000	chr6:11000000-12000000	chr6:110000000-111000000	chr6:111000000-112000000	chr6:112000000-113000000	chr6:113000000-114000000	chr6:114000000-115000000	chr6:115000000-116000000	chr6:116000000-117000000	chr6:117000000-118000000	chr6:118000000-119000000	chr6:119000000-120000000	chr6:12000000-13000000	chr6:120000000-121000000	chr6:121000000-122000000	chr6:122000000-123000000	chr6:123000000-124000000	chr6:124000000-125000000	chr6:125000000-126000000	chr6:126000000-127000000	chr6:127000000-128000000	chr6:128000000-129000000	chr6:129000000-130000000	chr6:13000000-14000000	chr6:130000000-131000000	chr6:131000000-132000000	chr6:132000000-133000000	chr6:133000000-134000000	chr6:134000000-135000000	chr6:135000000-136000000	chr6:136000000-137000000	chr6:137000000-138000000	chr6:138000000-139000000	chr6:139000000-140000000	chr6:14000000-15000000	chr6:140000000-141000000	chr6:141000000-142000000	chr6:142000000-143000000	chr6:143000000-144000000	chr6:144000000-145000000	chr6:145000000-146000000	chr6:146000000-147000000	chr6:147000000-148000000	chr6:148000000-149000000	chr6:149000000-150000000	chr6:15000000-16000000	chr6:150000000-151000000	chr6:151000000-152000000	chr6:152000000-153000000	chr6:153000000-154000000	chr6:154000000-155000000	chr6:155000000-156000000	chr6:156000000-157000000	chr6:157000000-158000000	chr6:158000000-159000000	chr6:159000000-160000000	chr6:16000000-17000000	chr6:160000000-161000000	chr6:161000000-162000000	chr6:162000000-163000000	chr6:163000000-164000000	chr6:164000000-165000000	chr6:165000000-166000000	chr6:166000000-167000000	chr6:167000000-168000000	chr6:168000000-169000000	chr6:169000000-170000000	chr6:17000000-18000000	chr6:170000000-171000000	chr6:171000000-171115067	chr6:18000000-19000000	chr6:19000000-20000000	chr6:2000000-3000000	chr6:20000000-21000000	chr6:21000000-22000000	chr6:22000000-23000000	chr6:23000000-24000000	chr6:24000000-25000000	chr6:25000000-26000000	chr6:26000000-27000000	chr6:27000000-28000000	chr6:28000000-29000000	chr6:29000000-30000000	chr6:3000000-4000000	chr6:30000000-31000000	chr6:31000000-32000000	chr6:32000000-33000000	chr6:33000000-34000000	chr6:34000000-35000000	chr6:35000000-36000000	chr6:36000000-37000000	chr6:37000000-38000000	chr6:38000000-39000000	chr6:39000000-40000000	chr6:4000000-5000000	chr6:40000000-41000000	chr6:41000000-42000000	chr6:42000000-43000000	chr6:43000000-44000000	chr6:44000000-45000000	chr6:45000000-46000000	chr6:46000000-47000000	chr6:47000000-48000000	chr6:48000000-49000000	chr6:49000000-50000000	chr6:5000000-6000000	chr6:50000000-51000000	chr6:51000000-52000000	chr6:52000000-53000000	chr6:53000000-54000000	chr6:54000000-55000000	chr6:55000000-56000000	chr6:56000000-57000000	chr6:57000000-58000000	chr6:58000000-59000000	chr6:59000000-60000000	chr6:6000000-7000000	chr6:60000000-61000000	chr6:61000000-62000000	chr6:62000000-63000000	chr6:63000000-64000000	chr6:64000000-65000000	chr6:65000000-66000000	chr6:66000000-67000000	chr6:67000000-68000000	chr6:68000000-69000000	chr6:69000000-70000000	chr6:7000000-8000000	chr6:70000000-71000000	chr6:71000000-72000000	chr6:72000000-73000000	chr6:73000000-74000000	chr6:74000000-75000000	chr6:75000000-76000000	chr6:76000000-77000000	chr6:77000000-78000000	chr6:78000000-79000000	chr6:79000000-80000000	chr6:8000000-9000000	chr6:80000000-81000000	chr6:81000000-82000000	chr6:82000000-83000000	chr6:83000000-84000000	chr6:84000000-85000000	chr6:85000000-86000000	chr6:86000000-87000000	chr6:87000000-88000000	chr6:88000000-89000000	chr6:89000000-90000000	chr6:9000000-10000000	chr6:90000000-91000000	chr6:91000000-92000000	chr6:92000000-93000000	chr6:93000000-94000000	chr6:94000000-95000000	chr6:95000000-96000000	chr6:96000000-97000000	chr6:97000000-98000000	chr6:98000000-99000000	chr6:99000000-100000000
chr6:0-1000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr6:1000000-2000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr6:10000000-11000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr6:100000000-101000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr6:101000000-102000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr6:102000000-103000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr6:103000000-104000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr6:104000000-105000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr6:105000000-106000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr6:106000000-107000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
